track,album,album_type,artist,release_date,recording_period,recording_location,album_duration,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers,producers,vocals,user_rating,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Chicago (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,,,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",,,,,Graham Nash,,,9,190826,33,0.555,0.41,9,-10.21,0,0.033,0.912,1.69E-05,0.866,0.405,147.037,4
Find the Cost of Freedom,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,,,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Soft Rock, Album Rock, Singer/Songwriter","Innocent, Laid-Back/Mellow, Light, Organic, Refined, Relaxed, Soft/Quiet, Warm, Wistful, Yearning, Amiable/Good-Natured, Earnest, Gentle, Intimate, Plaintive, Reflective, Bittersweet, Delicate, Insular, Literate, Poignant, Searching, Soothing, Spiritual, Sweet, Weary, Sentimental, Precious","Comfort, Day Driving, Hanging Out, Introspection, Reflection, Relaxation, Solitude",Stephen Stills,,,9,141200,24,0.384,0.153,8,-18.311,1,0.0348,0.714,1.00E-05,0.27,0.575,75.233,4
King Midas in Reverse,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,,,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Wistful, Poignant, Sensual, Soft/Quiet, Sparse, Bittersweet, Delicate, Dreamy, Elegant, Innocent, Reflective, Sentimental, Earnest, Gentle, Reserved, Somber, Intimate, Melancholy, Weary, Whimsical","Heartache, Late Night, Reflection","Allan Clarke, Tony Hicks, Graham Nash",,,9,223266,22,0.419,0.55,1,-13.016,1,0.28,0.689,0,0.702,0.464,155.204,4
Medley,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,,,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",,,,,Stephen Stills,,,9,580666,27,0.458,0.407,8,-12.981,1,0.0503,0.494,0.000253,0.941,0.411,140.527,4
Ohio (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,,,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Folk-Rock, Album Rock, Psychedelic/Garage, Singer/Songwriter, Contemporary Pop/Rock, Soft Rock, Country-Rock","Anguished/Distraught, Uncompromising, Gritty, Intense, Literate, Poignant, Dramatic, Earnest, Indulgent, Ominous, Street-Smart, Angst-Ridden, Urgent, Cathartic, Eerie, Paranoid, Tense/Anxious, Confrontational, Gutsy, Reflective, Theatrical","Politics/Society, Reminiscing, Revolution, Loss/Grief, Protest",Neil Young,,,9,214133,26,0.273,0.782,2,-7.928,0,0.0372,0.0274,1.42E-06,0.932,0.677,161.686,4
Right Between the Eyes,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,,,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Wistful, Poignant, Soft/Quiet, Sparse, Delicate, Dreamy, Elegant, Innocent, Reflective, Sentimental, Earnest, Gentle, Reserved, Somber, Intimate, Melancholy, Weary, Whimsical","Introspection, Late Night, Reflection",Graham Nash,,,9,216666,25,0.399,0.206,0,-21.526,1,0.209,0.762,2.26E-06,0.975,0.439,139.796,4
A Letter Home Intro,A Letter Home,studio,Neil Young,2014-19-05,16-Sep-13,"Third Man Records, Nashville, TN",39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,,"Jack White III, Neil Young",Neil Young,7,137213,8,0.755,0.251,4,-14.697,0,0.587,0.804,0.000106,0.13,0.537,80.165,4
Changes,A Letter Home,studio,Neil Young,2014-19-05,16-Sep-13,"Third Man Records, Nashville, TN",39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Phil Ochs,"Jack White III, Neil Young",Neil Young,7,236306,12,0.445,0.257,4,-21.839,0,0.0504,0.937,0.285,0.113,0.632,142.318,4
Crazy,A Letter Home,studio,Neil Young,2014-19-05,16-Sep-13,"Third Man Records, Nashville, TN",39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Willie Nelson,"Jack White III, Neil Young",Neil Young,7,135973,15,0.546,0.261,4,-16.051,0,0.0401,0.914,0.00551,0.123,0.273,91.65,4
Early Morning Rain,A Letter Home,studio,Neil Young,2014-19-05,16-Sep-13,"Third Man Records, Nashville, TN",39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Gordon Lightfoot,"Jack White III, Neil Young",Neil Young,7,264320,9,0.33,0.424,5,-13.186,1,0.0349,0.952,0.00434,0.364,0.623,176.991,4
